,SP 500,US.Bnd3,US.Bnd10,UK-100,UK.Bnd3,UK.Bnd10,N225,Japan.Bnd3,Japan.Bnd10,USD-CNY,GBP-CNY,JPY-CNY
2020/9/14,"3,357.01",455.954,730.338,"6,007.05",593.025,"1,062.31","23,360.30",180.339,326.349,6.7675,8.7402,0.06441
2020/9/7,"3,340.97",455.588,726.473,"6,032.09",592.574,"1,057.45","23,406.49",180.273,325.587,6.833,8.7415,0.06424
2020/8/31,"3,426.96",456.078,728.45,"5,799.08",592.158,"1,051.98","23,205.43",180.205,325.459,6.8409,9.0861,0.06461
2020/8/24,"3,508.01",455.57,731.792,"5,963.57",592.153,"1,060.63","22,882.65",180.259,326.157,6.8647,9.1637,0.06528
2020/8/17,"3,397.16",455.49,729.08,"6,001.89",592.227,"1,060.34","22,920.30",180.253,325.676,6.9179,9.0535,0.06541
2020/8/10,"3,372.85",455.979,735.618,"6,090.04",592.297,"1,067.27","23,289.36",180.33,326.606,6.9501,9.0935,0.06571
2020/8/3,"3,351.28",456.254,736.332,"6,032.18",592.995,"1,070.73","22,329.94",180.443,326.155,6.967,9.0926,0.06583
2020/7/27,"3,271.12",455.525,733.048,"5,897.76",593.347,"1,071.04","21,710.00",180.429,326.318,6.9744,9.1246,0.06644
2020/7/20,"3,215.63",455.575,732.164,"6,123.82",592.743,"1,067.95","22,751.61",180.457,326.057,7.017,8.9768,0.06515
2020/7/13,"3,224.73",455.554,730.709,"6,290.30",592.334,"1,063.66","22,696.42",180.45,326.03,6.9924,8.7876,0.06526
2020/7/6,"3,185.04",455.569,726.861,"6,095.41",591.936,"1,062.41","22,290.81",180.397,325.588,7.0019,8.8377,0.06538
2020/6/29,"3,130.01",455.834,730.085,"6,157.30",592.079,"1,065.59","22,306.48",180.413,326.188,7.0663,8.8223,0.06582
2020/6/22,"3,009.05",455.077,725.323,"6,159.30",591.548,"1,062.24","22,512.08",180.478,326.315,7.0782,8.731,0.06611
2020/6/15,"3,097.74",455.067,724.098,"6,292.60",590.867,"1,061.80","22,478.79",180.527,326.345,7.0723,8.74,0.06595
2020/6/8,"3,041.31",454.167,711.931,"6,105.18",590.267,"1,050.84","22,305.48",180.434,325.202,7.0834,8.8836,0.06522
2020/6/1,"3,193.93",455.369,727.12,"6,484.30",590.467,"1,059.48","22,863.73",180.605,326.348,7.082,8.9693,0.0663
2020/5/25,"3,044.31",455.244,727.026,"6,076.60",591.537,"1,064.03","21,877.89",180.661,326.475,7.1372,8.8117,0.06627
2020/5/18,"2,955.45",454.727,721.492,"5,993.28",590.069,"1,055.49","20,388.16",180.639,326.8,7.1304,8.6803,0.06621
2020/5/11,"2,863.70",454.777,721.719,"5,799.77",590.108,"1,054.97","20,037.47",180.595,326.251,7.1021,8.5978,0.066
2020/5/4,"2,929.80",454.65,727.498,"5,935.98",589.646,"1,058.34","20,179.09",180.621,327.381,7.0742,8.7783,0.06618
2020/4/27,"2,830.71",453.919,727.513,"5,763.06",589.081,"1,051.19","19,619.35",180.722,327.683,7.0622,8.8313,0.06606
2020/4/20,"2,836.74",454.324,729.633,"5,752.23",588.809,"1,049.17","19,262.00",180.511,326.043,7.0819,8.7596,0.06568
2020/4/13,"2,874.56",453.788,722.502,"5,786.96",589.443,"1,050.15","19,897.26",180.681,326.296,7.0731,8.842,0.06549
2020/4/6,"2,789.82",453.324,727.146,"5,842.66",588.894,"1,048.34","19,498.50",180.511,326.485,7.036,8.7629,0.06498
2020/3/30,"2,488.65",453.987,722.759,"5,415.50",588.572,"1,051.09","17,820.19",180.601,326.328,7.0928,8.6971,0.0657
2020/3/23,"2,541.47",453.347,714.515,"5,510.33",589.333,"1,041.91","19,389.43",180.634,324.245,7.0963,8.8401,0.06399
2020/3/16,"2,304.92",451.896,717.033,"5,190.78",586.565,"1,033.95","16,552.83",180.717,326.044,7.096,8.2616,0.06587
2020/3/9,"2,711.02",452.554,725.944,"5,366.11",588.57,"1,060.38","17,431.05",181.512,331.386,7.0086,8.6059,0.06736
2020/3/2,"2,972.37",447.158,687.223,"6,462.55",586.632,"1,038.21","20,749.75",181.257,330.807,6.9321,9.046,0.06418
