Date,000001.SS,HSI,KS11,BSESN,AXJO,GSPTSE,STI,NZ50,TWII,HKDCNY,KRWCNY,INRCNY,AUDCNY,CADCNY,SGDCNY,NZDCNY,TWDCNY
2020/9/14,2899.791992,23595.24023,2013.140015,18211.51953,4936.700195,14123.09961,3086.919922,3412.73999,8843.839844,0.844232381,0.005837446,0.145403674,6.653878702,6.681267917,5.153014102,4.988768267,0.223481208
2020/9/7,2878.564941,23012.36914,1963.430054,17700.91016,4836.5,14052.09961,3025.159912,3363.909912,8599.650391,0.84210997,0.005927743,0.144592503,6.635432477,6.684554666,5.148627434,4.933117631,0.220322196
2020/8/31,2942.305908,23408.85938,2004.680054,18486.44922,4864.299805,14252.7998,3061.310059,3418.110107,8784.400391,0.842597208,0.005820849,0.146318843,6.646410174,6.747275117,5.177027103,4.856001118,0.222869755
2020/8/24,2933.795898,23249.7793,1955.540039,18174.08984,4644.799805,13674.2998,3043.48999,3382.840088,8567.820313,0.842582956,0.005880717,0.145495457,6.57579438,6.732280343,5.155368814,4.822055983,0.222862478
2020/8/17,2906.88501,22300.23047,1981.130005,17878.81055,4626.399902,13789.59961,2935.780029,3339.51001,8394.75,0.841754515,0.00586451,0.145775811,6.463143284,6.672559782,5.141148474,4.745429385,0.222240283
2020/8/10,2977.813965,23158.66992,2054.040039,18815.64063,4742.600098,14039.40039,3070.840088,3388.610107,8610.389648,0.840475765,0.005823395,0.1468722,6.682820107,6.708828111,5.195345653,4.92000867,0.221937999
2020/8/3,2967.409912,23801.90039,2121.01001,19420.39063,4861.799805,14130.2002,3120.469971,3452.139893,8705.129883,0.840276168,0.005868879,0.14703037,6.75378224,6.739713391,5.186493146,4.971474169,0.222295923
2020/7/27,3030.020996,24396.07031,2127.969971,19451.44922,4940.600098,14208.40039,3187.310059,3445.27002,8894.540039,0.840707617,0.006018182,0.14817234,6.835646864,6.8144747,5.185208589,5.079997283,0.226025597
2020/7/20,3050.525879,24008.07031,2140.5,19386.82031,4852.100098,13799.09961,3153.300049,3452.689941,8718.120117,0.838985578,0.006040946,0.146864037,6.848597868,6.777166662,5.196097531,5.140819578,0.224722704
2020/7/13,3010.51709,24138.31055,2197.820068,19602.23047,4913.799805,13972,3194.72998,3492.399902,8969.429688,0.838766168,0.005980954,0.147202901,7.003181841,6.837234137,5.275038438,5.221768402,0.225830158
2020/7/6,2911.51001,23720.81055,2192.360107,19135.96094,4823.200195,13944.7998,3172.72998,3519.330078,9007.870117,0.836744128,0.006013425,0.146749437,7.111446695,6.841717376,5.299152359,5.227565102,0.226713168
2020/6/29,2863.885986,23159.14063,2147.449951,18518.81055,4743,13566.59961,3099.52002,3506.350098,8977.230469,0.834321956,0.006062634,0.14505816,6.87705437,6.711901908,5.231221965,5.105992657,0.227193401
2020/6/22,2871.031006,23276.26953,2120.080078,18531.2793,4711.399902,13377.2002,3163.679932,3535.790039,9006.610352,0.836131791,0.005933131,0.145347797,6.931659187,6.747552243,5.248344481,5.164917727,0.227538515
2020/6/15,2858.458984,23199.39063,2111.5,18326.08984,4732.200195,13652.2998,3168.540039,3577.439941,8837.030273,0.836721062,0.005964168,0.145016732,6.939746695,6.728043962,5.257032066,5.148013661,0.225715775
2020/6/8,2709.947021,23118.07031,2100.23999,18266.09961,4684,13797.59961,3135.52002,3527.959961,8810,0.833900795,0.0059708,0.143615844,6.896111394,6.628535905,5.222079003,5.252083745,0.224684082
2020/6/1,2728.02002,22949.56055,2113.469971,18376.48047,4583.100098,13517.90039,3145.669922,3514.76001,9046.280273,0.833586222,0.006003073,0.144834679,6.917790789,6.649025252,5.258939512,5.283455715,0.226039049
2020/5/25,2705.143066,22420.36914,2046.670044,18268.53906,4562.100098,13084,3078.350098,3490.629883,8837.820313,0.832080581,0.006035632,0.145201795,6.882040605,6.652969101,5.267181408,5.349855446,0.225526721
2020/5/18,2642.818115,21695.25977,2031.930054,17870.5293,4484.899902,12790,3005.280029,3469.590088,8636.099609,0.829585229,0.006040242,0.144508931,6.837842041,6.59669839,5.222231336,5.21760134,0.224246615
2020/5/11,2746.210938,22171.94922,2090.810059,18240.67969,4508.100098,12908.90039,3066.850098,3455.600098,8532.830078,0.830220144,0.005943173,0.144191755,6.813608551,6.614503683,5.238557912,5.268861155,0.224392785
2020/5/4,2759.362061,22398.09961,2125.73999,18762.80078,4591.200195,13300.90039,3139.01001,3475,8739.820313,0.830538533,0.005991665,0.144944279,6.927578512,6.706266682,5.266867551,5.354125049,0.224466053
2020/4/27,2797.772949,22726.42969,2180.350098,18858.03906,4654.700195,13371.7002,3151.280029,3456.139893,8749.549805,0.830763313,0.006083565,0.14583803,6.964718925,6.747025747,5.288776519,5.380326434,0.224401259
2020/4/20,2820.168945,21875.38086,2145.199951,18561.91992,4473.5,13299.5,3084.23999,3406.379883,8574.910156,0.826032305,0.006073507,0.144905405,6.900849678,6.70536775,5.288779275,5.418393415,0.223318304
2020/4/13,2770.790039,22444.80078,2171.22998,18722.30078,4602.899902,13494.59961,3182.949951,3449.219971,8765.320313,0.828092091,0.006090216,0.145632055,6.99198001,6.83588164,5.331817963,5.565476258,0.22401042
2020/4/6,2701.729004,22440.25,2133.209961,18197.19922,4424.600098,12945.59961,3189.26001,3395.629883,8644.179688,0.826873716,0.006243267,0.146398548,7.08730689,6.784961772,5.359786734,5.609437626,0.223792971
2020/3/30,2626.423096,20946.14063,1943.75,17305.86914,4105.399902,12162.2002,2994.780029,3276.51001,7853.129883,0.824002977,0.006093554,0.144240743,6.703585538,6.554297903,5.236923957,5.333831178,0.222415234
2020/3/23,2593.173096,19620.00977,1793.310059,16839.63086,4172.600098,12542.2002,2850.590088,3216.5,7637.02002,0.818923694,0.006043943,0.140909188,6.598089338,6.475446318,5.264538534,5.292917188,0.220075854
2020/3/16,2534.35791,19399.91992,1744.880005,16141.66992,4101.899902,12007.5,2733.629883,3267.840088,7342.959961,0.819540632,0.00605535,0.139739662,6.62975034,6.448242144,5.248561848,5.256768517,0.225906274
2020/3/9,2612.187988,19582.88086,1778.949951,15848.83008,4200,12327.5,2748.179932,3295.629883,7445.100098,0.819819318,0.00586602,0.138882854,6.672304956,6.466956915,5.278374169,5.292363839,0.220344823
2020/3/2,2528.280029,20212.91016,1867.75,16821.46094,4242.899902,12602.40039,2843.090088,3303.219971,7757.060059,0.819863812,0.005927949,0.139628007,6.842381824,6.537909692,5.299833939,5.43619023,0.220566885
2020/2/24,2497.75293,19866.63086,1812.930054,16866.9707,4194.700195,12387.5,2825.389893,3323.929932,7610.569824,0.818609895,0.00597806,0.13830479,6.767507593,6.456378879,5.255354353,5.330882554,0.219772648
